Days,Corn_NDVI_2013,Cotton_NDVI_2013,Soybean_NDVI_2013,Corn_NDVI_2014,Cotton_NDVI_2014,Soybean_NDVI_2014,Corn_MSAVI_2013,Cotton_MSAVI_2013,Soybean_MSAVI_2013,Corn_MSAVI_2014,Cotton_MSAVI_2014,Soybean_MSAVI_2014
238,0.229826681,0.796214404,0.772372943,0.215698265,0.724527772,0.727435011,0.372994078,0.885694217,0.870926969,0.352463204,0.830055824,0.838291892
239,0.226350599,0.791630404,0.770616347,0.211780828,0.71950961,0.725593924,0.368314307,0.882659868,0.869644781,0.347286238,0.826636855,0.837152881
240,0.222874517,0.787046403,0.768859751,0.20786339,0.714491447,0.723752837,0.363634537,0.879625519,0.868362592,0.342109272,0.823217886,0.836013869
241,0.219398435,0.782462403,0.767103155,0.204909347,0.711984882,0.725678773,0.358954767,0.876591171,0.867080404,0.338087796,0.821945823,0.837400387
242,0.215922353,0.777878403,0.765346559,0.201955304,0.709478318,0.727604708,0.354274996,0.873556822,0.865798216,0.33406632,0.820673759,0.838786905
243,0.21244627,0.773294402,0.763589963,0.19900126,0.706971754,0.729530644,0.349595226,0.870522473,0.864516028,0.330044844,0.819401696,0.840173423
244,0.208970188,0.768710402,0.761833367,0.196047217,0.704465189,0.731456579,0.344915455,0.867488124,0.863233839,0.326023368,0.818129633,0.84155994
245,0.206984716,0.76094207,0.756544107,0.193093174,0.701958625,0.733382515,0.342100567,0.861956518,0.858766199,0.322001892,0.81685757,0.842946458
246,0.204999244,0.753173738,0.751254846,0.190139131,0.699452061,0.73530845,0.339285678,0.856424912,0.854298559,0.317980416,0.815585506,0.844332976
247,0.203013771,0.745405406,0.745965585,0.187185087,0.696945496,0.737234386,0.336470789,0.850893305,0.849830919,0.31395894,0.814313443,0.845719494
248,0.201028299,0.737637074,0.740676324,0.185892011,0.691171255,0.735045625,0.3336559,0.845361699,0.845363279,0.312179835,0.810563691,0.844213926
249,0.199042827,0.729868743,0.735387063,0.184598935,0.685397013,0.732856865,0.330841011,0.839830093,0.840895639,0.31040073,0.806813939,0.842708358
250,0.197057354,0.722100411,0.730097802,0.183305859,0.679622771,0.730668105,0.328026122,0.834298486,0.836427999,0.308621625,0.803064187,0.84120279
251,0.195071882,0.714332079,0.724808542,0.182012783,0.673848529,0.728479345,0.325211233,0.82876688,0.831960359,0.30684252,0.799314435,0.839697222
252,0.19308641,0.706563747,0.719519281,0.180719707,0.668074287,0.726290585,0.322396344,0.823235274,0.827492719,0.305063415,0.795564684,0.838191654
253,0.191100937,0.698795415,0.71423002,0.179426631,0.662300045,0.724101824,0.319581455,0.817703667,0.823025078,0.30328431,0.791814932,0.836686086
254,0.189115465,0.691027083,0.708940759,0.178133554,0.656525804,0.721913064,0.316766566,0.812172061,0.818557438,0.301505205,0.78806518,0.835180518
255,0.187129993,0.683258751,0.703651498,0.176840478,0.650751562,0.719724304,0.313951678,0.806640455,0.814089798,0.2997261,0.784315428,0.833674951
256,0.185144521,0.67549042,0.698362237,0.175547402,0.64497732,0.717535544,0.311136789,0.801108848,0.809622158,0.297946995,0.780565676,0.832169383
257,0.183159048,0.667722088,0.693072977,0.175062841,0.635207391,0.713861136,0.3083219,0.795577242,0.805154518,0.297238229,0.773170536,0.829620883
258,0.181173576,0.659953756,0.687783716,0.17457828,0.625437461,0.710186728,0.305507011,0.790045636,0.800686878,0.296529464,0.765775396,0.827072383
259,0.179188104,0.652185424,0.682494455,0.174093719,0.615667532,0.70651232,0.302692122,0.784514029,0.796219238,0.295820698,0.758380256,0.824523884
260,0.177202631,0.644417092,0.677205194,0.173609158,0.605897603,0.702837912,0.299877233,0.778982423,0.791751598,0.295111932,0.750985116,0.821975384
261,0.176408606,0.636012327,0.662856854,0.173124597,0.596127674,0.699163503,0.298737872,0.771694973,0.778651249,0.294403167,0.743589976,0.819426884
262,0.175614581,0.627607563,0.648508515,0.172640036,0.586357744,0.695489095,0.297598512,0.764407523,0.7655509,0.293694401,0.736194836,0.816878385
263,0.174820555,0.619202798,0.634160175,0.172155476,0.576587815,0.691814687,0.296459151,0.757120072,0.752450551,0.292985636,0.728799696,0.814329885
264,0.17402653,0.610798033,0.619811836,0.172534093,0.567785744,0.684436833,0.29531979,0.749832622,0.739350202,0.293435246,0.721205116,0.808238422
265,0.173232505,0.602393268,0.605463496,0.172912711,0.558983672,0.677058979,0.294180429,0.742545172,0.726249852,0.293884857,0.713610536,0.802146959
266,0.172438479,0.593988504,0.591115157,0.173291329,0.550181601,0.669681124,0.293041068,0.735257722,0.713149503,0.294334467,0.706015956,0.796055496
267,0.171644454,0.585583739,0.576766817,0.173669947,0.54137953,0.66230327,0.291901708,0.727970272,0.700049154,0.294784078,0.698421376,0.789964034
268,0.170850429,0.577178974,0.562418477,0.174048564,0.532577458,0.654925416,0.290762347,0.720682821,0.686948805,0.295233689,0.690826796,0.783872571
269,0.170056403,0.56877421,0.548070138,0.174427182,0.523775387,0.647547562,0.289622986,0.713395371,0.673848456,0.295683299,0.683232216,0.777781108
270,0.169262378,0.560369445,0.533721798,0.1748058,0.514973316,0.640169707,0.288483625,0.706107921,0.660748107,0.29613291,0.675637636,0.771689645
271,0.168468353,0.55196468,0.519373459,0.175184418,0.506171244,0.632791853,0.287344265,0.698820471,0.647647758,0.296582521,0.668043056,0.765598182
272,0.167674327,0.543559915,0.505025119,0.175563035,0.497369173,0.625413999,0.286204904,0.691533021,0.634547409,0.297032131,0.660448476,0.75950672
273,0.166880302,0.535155151,0.490676779,0.172185972,0.483511491,0.608324268,0.285065543,0.68424557,0.62144706,0.292026039,0.646231352,0.743900905
274,0.166086277,0.526750386,0.47632844,0.168808909,0.469653808,0.591234537,0.283926182,0.67695812,0.608346711,0.287019947,0.632014228,0.728295089
275,0.165292251,0.518345621,0.4619801,0.165431845,0.455796126,0.574144806,0.282786822,0.66967067,0.595246362,0.282013854,0.617797104,0.712689274
276,0.164498226,0.509940856,0.447631761,0.162054782,0.441938444,0.557055075,0.281647461,0.66238322,0.582146013,0.277007762,0.603579979,0.697083459
277,0.163704201,0.501536092,0.433283421,0.158677718,0.428080761,0.539965344,0.2805081,0.65509577,0.569045664,0.272001669,0.589362855,0.681477644
278,0.162910175,0.493131327,0.418935082,0.155300655,0.414223079,0.522875613,0.279368739,0.647808319,0.555945315,0.266995577,0.575145731,0.665871829
279,0.16211615,0.484726562,0.404586742,0.151923592,0.400365396,0.505785881,0.278229379,0.640520869,0.542844966,0.261989484,0.560928607,0.650266014
